序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2018/12/31,松山,1.8,0.26,424.68,29.1,7,5,15.4,2.92,12.48,1.845,0.051,1.794,1.84,1.36,15.7,-,-,90.56,-
2,臺北市,2018/12/31,古亭,1.7,0.27,-,29.1,9,6,13.68,2.18,11.5,1.98,0.062,1.918,2.3,1.99,16.1,-,-,92.33,-
3,臺北市,2018/12/31,中山,1.7,0.36,-,25.6,10,7,18.65,3.4,15.25,1.919,0.091,1.828,2.22,1.83,16.46,-,-,93.42,-
4,臺北市,2018/12/31,大同,2.2,0.69,-,-,10,4,49.27,24.86,24.4,2.147,0.196,1.95,-,-,-,-,-,-,-
5,臺北市,2018/12/31,萬華,1.1,0.3,-,24.8,7,3,17.35,3.03,14.32,-,-,-,2.47,2.09,17.07,-,-,84.5,-
6,臺北市,2018/12/31,陽明,0.7,0.15,411.35,37.7,5,1,1.42,0.27,1.08,-,-,-,2.23,-,10.67,1.98,5.1,99.5,2.96
7,臺北市,2018/12/31,士林,0.5,0.25,-,30.3,6,3,8.35,1,7.36,-,-,-,2.17,1.75,17.67,-,-,79.92,-
8,臺北市,2018/12/30,松山,2.2,0.24,424.3,31.1,14,7,13.49,2.06,11.43,1.848,0.053,1.795,2.21,1.68,14.6,-,-,85.52,-
9,臺北市,2018/12/30,古亭,1.4,0.26,-,32.1,14,8,10.95,2.24,8.7,1.968,0.053,1.915,3.12,2.73,15.23,-,-,84.97,-
10,臺北市,2018/12/30,中山,0.9,0.36,-,27.1,15,7,18.9,3.74,15.16,1.908,0.085,1.823,2.5,2.09,15.2,-,-,90.52,-
11,臺北市,2018/12/30,大同,1.9,0.5,-,-,17,5,32.85,12.86,19.98,2.058,0.12,1.938,-,-,-,-,-,-,-
12,臺北市,2018/12/30,萬華,1.4,0.3,-,26.3,13,5,17.75,3.23,14.52,-,-,-,2.78,2.46,15.83,-,-,80.38,-
13,臺北市,2018/12/30,陽明,1.6,0.16,413.18,39.2,5,3,1.45,0.3,1.06,-,-,-,4.14,-,9.11,2.98,4.52,99.5,39.6
14,臺北市,2018/12/30,士林,1.2,0.2,-,37.7,8,4,4.22,1.49,2.72,-,-,-,2.9,2.59,16.5,-,-,75.97,-
15,臺北市,2018/12/29,松山,1.4,0.3,427.33,28.5,21,9,16.27,3.35,12.92,1.858,0.067,1.791,2.42,1.89,13.05,-,-,79.39,-
16,臺北市,2018/12/29,古亭,1.4,0.34,-,29.5,22,11,14.08,2.86,11.22,1.991,0.072,1.919,3.07,2.72,13.53,-,-,80.53,-
17,臺北市,2018/12/29,中山,1.1,0.42,-,25.2,23,8,21.86,4.79,17.07,1.924,0.103,1.821,2.29,1.76,13.98,-,-,81.11,-
18,臺北市,2018/12/29,大同,0.7,0.52,-,-,21,10,32.25,14.64,17.59,2.05,0.117,1.933,-,-,-,-,-,-,-
19,臺北市,2018/12/29,萬華,1.3,0.33,-,24.7,20,7,18.6,3.79,14.81,-,-,-,3.02,2.53,14.34,-,-,72.15,-
20,臺北市,2018/12/29,陽明,1.1,0.19,414.96,37,8,5,1.55,0.25,1.25,-,-,-,2.29,-,6.68,1.2,4.12,99.5,75.3
21,臺北市,2018/12/29,士林,0.9,0.22,-,36.9,14,7,5.2,1.72,3.47,-,-,-,3.72,3.04,14.79,-,-,70.35,-
22,臺北市,2018/12/28,松山,1.6,0.36,425.55,29.3,19,6,16.57,2.86,13.7,1.867,0.068,1.8,2.59,2.16,14.29,-,-,82.88,-
23,臺北市,2018/12/28,古亭,1.5,0.4,-,27.3,21,11,19.28,4.2,15.08,2.025,0.095,1.93,2.92,2.42,14.81,-,-,84.04,-
24,臺北市,2018/12/28,中山,1.1,0.51,-,24.4,21,9,26.42,6.84,19.57,1.955,0.122,1.833,2.39,1.8,15.16,-,-,84.71,-
25,臺北市,2018/12/28,大同,0.5,0.69,-,-,19,8,46.99,23.8,23.19,2.124,0.174,1.95,-,-,-,-,-,-,-
26,臺北市,2018/12/28,萬華,0.6,0.42,-,24.4,19,6,21.34,4.65,16.7,-,-,-,2.89,2.5,15.6,-,-,75.65,-
27,臺北市,2018/12/28,陽明,0.2,0.26,417.13,38.6,6,4,1.53,0.25,1.2,-,-,-,2.73,-,8.48,2.19,4.3,99.5,46.06
28,臺北市,2018/12/28,士林,1.9,0.28,-,37.2,9,3,7.04,1.85,5.2,-,-,-,3.02,2.51,16.31,-,-,71.92,-
29,臺北市,2018/12/27,松山,1.6,0.33,423.61,30.2,16,6,15.97,2.46,13.51,1.841,0.066,1.776,2.16,1.8,17.01,-,-,85.07,-
30,臺北市,2018/12/27,古亭,0.6,0.39,-,26.2,18,9,19.86,4.04,15.83,2.015,0.094,1.921,2.05,1.71,17.52,-,-,86.11,-
31,臺北市,2018/12/27,中山,1.3,0.49,-,21.6,16,9,27.64,6.73,20.91,1.965,0.131,1.834,1.8,1.33,17.85,-,-,87.95,-
32,臺北市,2018/12/27,大同,2.3,1.07,-,-,18,7,63.18,34.87,28.3,2.259,0.288,1.971,-,-,-,-,-,-,-
33,臺北市,2018/12/27,萬華,0.9,0.43,-,21,14,6,23.76,4.11,19.63,-,-,-,1.97,1.5,18.31,-,-,80.31,-
34,臺北市,2018/12/27,陽明,0.5,0.21,414.73,39.5,5,1,0.84,0.25,0.47,-,-,-,4.23,-,11.37,2.28,4.61,99.5,25.76
35,臺北市,2018/12/27,士林,0.6,0.29,-,31.2,10,7,9.68,1.17,8.47,-,-,-,2.43,1.85,18.58,-,-,78.62,-
36,臺北市,2018/12/26,松山,1.9,0.47,430.86,16.5,19,10,30.51,8.41,22.1,2.018,0.173,1.845,1.18,0.88,20.11,-,-,89.55,-
37,臺北市,2018/12/26,古亭,1.6,0.57,-,16.9,26,14,30.57,7.84,22.73,2.181,0.213,1.968,1.3,1.03,20.46,-,-,88.91,-
38,臺北市,2018/12/26,中山,1.5,0.7,-,13.4,24,9,38.39,12.55,25.84,2.144,0.234,1.91,1.17,0.86,20.47,-,-,93.75,-
39,臺北市,2018/12/26,大同,3.1,1.41,-,-,25,9,76.2,46.93,29.28,2.443,0.432,2.011,-,-,-,-,-,-,-
40,臺北市,2018/12/26,萬華,2.1,0.58,-,15,19,6,29.74,7.35,22.39,-,-,-,1.38,1.04,20.98,-,-,85.98,-
41,臺北市,2018/12/26,陽明,2,0.16,410.65,35.9,5,1,2.01,0.37,1.58,-,-,-,3.01,-,15.32,0.64,5.03,99.5,5.73
42,臺北市,2018/12/26,士林,0.7,0.38,-,18.1,17,9,19.07,3.59,15.5,-,-,-,1.12,0.98,21.03,-,-,88.29,-
43,臺北市,2018/12/25,松山,3.5,0.45,428.35,20,17,7,31.98,10.91,21.07,1.962,0.154,1.808,1.67,1.34,20.49,-,-,89.35,-
44,臺北市,2018/12/25,古亭,3,0.51,-,19.9,20,10,29.57,8.69,20.88,2.115,0.161,1.955,2.34,2.1,21.18,-,-,87.49,-
45,臺北市,2018/12/25,中山,4.1,0.67,-,17.6,21,9,37.76,14.56,23.23,2.082,0.195,1.887,2.14,1.88,21.19,-,-,92.12,-
46,臺北市,2018/12/25,大同,2.8,1.15,-,-,20,9,65.73,38.58,27.15,2.332,0.339,1.993,-,-,-,-,-,-,-
47,臺北市,2018/12/25,萬華,2.6,0.55,-,17.8,17,6,31.72,10.47,21.24,-,-,-,2.35,2.12,21.57,-,-,84.64,-
48,臺北市,2018/12/25,陽明,1.5,0.17,412.38,37.1,5,2,1.41,0.2,1.29,-,-,-,3.96,-,15.84,0.72,5.08,99.5,4.08
49,臺北市,2018/12/25,士林,2.7,0.34,-,25.4,15,7,12.15,2.05,10.08,-,-,-,2.32,2.17,22.45,-,-,81.42,-
50,臺北市,2018/12/24,松山,2.7,0.31,425.17,29.9,15,5,21.7,3.41,18.28,1.87,0.087,1.783,2.12,1.66,16.73,-,-,89.72,-
51,臺北市,2018/12/24,古亭,1.8,0.34,-,33.1,15,8,16.9,2.85,14.04,2.057,0.091,1.966,2.93,2.61,17.19,-,-,90.06,-
52,臺北市,2018/12/24,中山,2.3,0.47,-,27.6,16,6,25.22,5.38,19.85,1.92,0.115,1.806,2.76,2.27,17.46,-,-,93.12,-
53,臺北市,2018/12/24,大同,2.1,0.9,-,-,18,5,59,30.98,28.02,2.165,0.239,1.926,-,-,-,-,-,-,-
54,臺北市,2018/12/24,萬華,2.4,0.38,-,28.1,13,5,21.61,4.51,17.09,-,-,-,2.85,2.61,17.96,-,-,84.78,-
55,臺北市,2018/12/24,陽明,0.9,0.17,415.92,44.2,5,1,1.02,0.22,0.9,-,-,-,3.74,-,11.78,2.48,5.34,99.5,19.1
56,臺北市,2018/12/24,士林,1.5,0.24,-,38.8,8,5,7.19,1.43,5.76,-,-,-,3.03,2.6,18.69,-,-,79.23,-
57,臺北市,2018/12/23,松山,2.4,0.32,429.78,27.1,19,11,15.48,2.07,13.41,1.882,0.08,1.802,2.13,1.62,19.92,-,-,89.05,-
58,臺北市,2018/12/23,古亭,1,0.39,-,25.1,22,11,17.37,2.82,14.55,2.052,0.099,1.953,2.25,1.92,20.7,-,-,87.7,-
59,臺北市,2018/12/23,中山,1.4,0.54,-,19.7,24,10,25.79,4.94,20.86,2.055,0.144,1.91,1.93,1.52,20.83,-,-,90.78,-
60,臺北市,2018/12/23,大同,2.2,0.75,-,-,24,11,49.24,22.21,27.03,2.271,0.217,2.054,-,-,-,-,-,-,-
61,臺北市,2018/12/23,萬華,1.2,0.44,-,20.7,18,8,22.33,4.36,17.97,-,-,-,2.33,1.92,21.31,-,-,83.63,-
62,臺北市,2018/12/23,陽明,1.7,0.23,421.83,38.7,7,3,2.34,0.35,2,-,-,-,2.8,-,15.49,3.15,4.97,97.06,3.85
63,臺北市,2018/12/23,士林,2.1,0.52,-,23.1,27,17,21.88,6.99,14.89,-,-,-,1.91,1.43,21.24,-,-,82.93,-
64,臺北市,2018/12/22,松山,5,0.57,444.25,24.6,49,23,39.55,12.46,27.08,2.129,0.206,1.922,1.31,0.97,22.13,-,-,77.8,-
65,臺北市,2018/12/22,古亭,3.2,0.64,-,27.5,53,34,32.95,7.54,25.41,2.25,0.235,2.015,1.28,1.14,23.14,-,-,75.13,-
66,臺北市,2018/12/22,中山,5.3,0.88,-,21.2,59,27,51.67,18.55,33.12,2.312,0.304,2.008,1.27,0.89,23.25,-,-,78.53,-
67,臺北市,2018/12/22,大同,5,1.37,-,-,57,28,71.42,37.87,33.55,2.758,0.446,2.313,-,-,-,-,-,-,-
68,臺北市,2018/12/22,萬華,4.9,0.72,-,22.6,51,25,36.13,8.94,27.19,-,-,-,1.3,0.99,23.43,-,-,73.74,-
69,臺北市,2018/12/22,陽明,2.9,0.23,417.97,47.6,26,14,5.35,1.09,4.25,-,-,-,1.38,-,18.31,0,0,89.32,0
70,臺北市,2018/12/22,士林,3.7,0.64,-,25.3,54,28,33.84,11.56,22.28,-,-,-,1.44,1.22,23.25,-,-,78.05,-
71,臺北市,2018/12/21,松山,3.6,0.62,444.25,18.1,42,17,37.37,11.09,26.28,2.099,0.213,1.887,1.71,1.46,21.19,-,-,76.34,-
72,臺北市,2018/12/21,古亭,2.1,0.52,-,21.2,39,21,29.75,8.71,21.03,2.119,0.162,1.958,2.12,1.91,22.04,-,-,74.05,-
73,臺北市,2018/12/21,中山,3.4,0.67,-,16.3,41,18,41.71,13.36,28.35,2.124,0.221,1.903,1.91,1.56,22.39,-,-,74.72,-
74,臺北市,2018/12/21,大同,4.2,1.19,-,-,40,19,73.55,39.76,33.79,2.46,0.384,2.077,-,-,-,-,-,-,-
75,臺北市,2018/12/21,萬華,2.6,0.54,-,15.7,33,14,34.78,8.86,25.92,-,-,-,2.26,1.95,22.46,-,-,71.35,-
76,臺北市,2018/12/21,陽明,2,0.15,417.54,40.6,19,9,3.39,0.99,2.4,-,-,-,2.91,-,15.83,0,0,94.79,0
77,臺北市,2018/12/21,士林,2.4,0.4,-,25.2,33,19,19.75,4.01,15.76,-,-,-,1.99,1.65,22.98,-,-,71.1,-
78,臺北市,2018/12/20,松山,5,0.76,459.45,15.3,44,17,57.74,19.37,38.37,2.303,0.3,2.003,1.02,0.8,20.01,-,-,65.31,-
79,臺北市,2018/12/20,古亭,3.1,0.62,-,23.6,40,22,40.76,10.37,30.39,2.235,0.226,2.009,1.31,0.98,20.78,-,-,62.69,-
80,臺北市,2018/12/20,中山,3.2,0.78,-,22.6,46,18,47.63,11.27,36.35,2.186,0.251,1.935,1.31,0.85,21.07,-,-,64.33,-
81,臺北市,2018/12/20,大同,3.7,2.05,-,-,48,20,109.9,63.47,46.42,2.702,0.608,2.093,-,-,-,-,-,-,-
82,臺北市,2018/12/20,萬華,2.4,0.7,-,24.6,40,14,44.02,8.76,35.26,-,-,-,1.28,0.95,21.11,-,-,60.1,-
83,臺北市,2018/12/20,陽明,1.4,0.18,418.88,51.1,20,12,3.31,0.54,2.83,-,-,-,1.37,-,16.59,0,0,64.44,0
84,臺北市,2018/12/20,士林,2.8,0.56,-,26.2,39,17,31.28,6.67,24.64,-,-,-,1.29,1.19,20.87,-,-,66.87,-
85,臺北市,2018/12/19,松山,2.6,0.53,433.6,32.8,38,10,32.95,11.15,21.8,2.012,0.155,1.857,1.36,1.05,19.25,-,-,59.58,-
86,臺北市,2018/12/19,古亭,2.2,0.46,-,35.6,39,16,27.36,6.82,20.54,2.078,0.139,1.939,1.71,1.48,20.43,-,-,56.6,-
87,臺北市,2018/12/19,中山,1.6,0.57,-,32.3,40,14,34.08,8.65,25.44,2.03,0.171,1.859,1.82,1.51,20.54,-,-,60.17,-
88,臺北市,2018/12/19,大同,3.4,1.76,-,-,46,16,119.17,75.43,43.74,2.556,0.523,2.033,-,-,-,-,-,-,-
89,臺北市,2018/12/19,萬華,1.9,0.49,-,31.2,37,13,32.47,6.08,26.37,-,-,-,1.7,1.42,20.72,-,-,53.56,-
90,臺北市,2018/12/19,陽明,1.5,0.17,416.58,51.1,27,12,3.05,0.63,2.45,-,-,-,2.08,-,13.75,0,0,79,0
91,臺北市,2018/12/19,士林,2.3,0.31,-,45,34,12,16.73,1.9,14.82,-,-,-,1.83,1.63,21.24,-,-,57.02,-
92,臺北市,2018/12/18,松山,3.7,0.42,437.4,26.1,50,17,36.42,7.64,28.78,2.077,0.202,1.875,1.97,1.69,16.44,-,-,59.7,-
93,臺北市,2018/12/18,古亭,1.4,0.38,-,41.3,44,19,20.07,3.39,16.67,2.045,0.105,1.939,2.62,2.37,17.55,-,-,56.06,-
94,臺北市,2018/12/18,中山,3.3,0.57,-,27,50,17,40.13,10.18,29.94,2.056,0.177,1.879,2.2,1.79,17.38,-,-,62.48,-
95,臺北市,2018/12/18,大同,3.1,0.78,-,-,49,17,58.1,22.88,35.23,2.27,0.239,2.032,-,-,-,-,-,-,-
96,臺北市,2018/12/18,萬華,2.2,0.47,-,27.5,45,14,35.5,5.33,30.17,-,-,-,2.4,2.1,17.8,-,-,53.83,-
97,臺北市,2018/12/18,陽明,4.1,0.19,418.57,53.1,36,12,5.51,0.88,4.62,-,-,-,3.66,-,10.23,0,0,78.94,0
98,臺北市,2018/12/18,士林,2.3,0.27,-,50.4,41,12,10.46,1.26,9.21,-,-,-,2.51,2.21,18.07,-,-,57.28,-
99,臺北市,2018/12/17,松山,2.3,0.45,435.76,33.5,47,15,21.08,2.88,18.21,1.954,0.112,1.842,1.96,1.63,15.87,-,-,60.67,-
100,臺北市,2018/12/17,古亭,1.5,0.48,-,33.1,46,23,19.63,2.95,16.67,2.108,0.123,1.985,1.92,1.64,16.23,-,-,65.2,-
101,臺北市,2018/12/17,中山,1.8,0.63,-,28,48,18,32.1,7.77,24.33,2.028,0.157,1.871,1.59,1.02,16.61,-,-,66.54,-
102,臺北市,2018/12/17,大同,1.9,1.01,-,-,47,17,62.55,29.82,32.73,2.304,0.264,2.04,-,-,-,-,-,-,-
103,臺北市,2018/12/17,萬華,2.2,0.55,-,27.2,41,12,26.89,4.56,22.33,-,-,-,1.72,1.43,16.63,-,-,61.36,-
104,臺北市,2018/12/17,陽明,0.8,0.3,424.31,45.6,35,15,2.51,0.33,2.16,-,-,-,-,-,8.49,1,3.65,89.88,142.3
105,臺北市,2018/12/17,士林,2,0.45,-,37.2,41,18,12.88,0.56,12.41,-,-,-,1.93,1.67,16.83,-,-,65.07,-
106,臺北市,2018/12/16,松山,2.7,0.4,438.08,20.7,26,10,27.1,9.62,17.48,2.076,0.157,1.919,1.41,1.04,19.86,-,-,79.08,-
107,臺北市,2018/12/16,古亭,2.2,0.48,-,20.1,30,15,22.98,5.93,17.05,2.158,0.157,2.001,1.44,1.32,20.35,-,-,79.18,-
108,臺北市,2018/12/16,中山,2.9,0.57,-,18.2,33,15,28.57,7.78,20.79,2.118,0.184,1.934,1.33,0.93,20.52,-,-,82.48,-
109,臺北市,2018/12/16,大同,3.1,1.14,-,-,33,13,59.77,35.94,23.83,2.439,0.335,2.104,-,-,-,-,-,-,-
110,臺北市,2018/12/16,萬華,3.1,0.52,-,17.7,28,10,25.24,6.11,19.13,-,-,-,1.38,1,20.43,-,-,76.28,-
111,臺北市,2018/12/16,陽明,2.2,0.22,418.94,32.2,9,3,3.52,0.46,3.05,-,-,-,2.14,-,13.88,0,0,98.63,0
112,臺北市,2018/12/16,士林,2.4,0.34,-,23.4,26,8,15.28,3.99,11.29,-,-,-,1.89,1.65,21.01,-,-,78.26,-
113,臺北市,2018/12/15,松山,1.7,0.24,422.42,28.2,18,10,18.21,4.01,14.2,1.848,0.076,1.772,2.24,1.81,18.5,-,-,84.17,-
114,臺北市,2018/12/15,古亭,1.4,0.32,-,28.7,19,10,16.81,2.74,14.05,1.977,0.081,1.896,3.21,2.86,19.26,-,-,82.33,-
115,臺北市,2018/12/15,中山,1,0.39,-,26.4,20,8,22.01,5.43,16.57,1.888,0.102,1.787,2.82,2.31,19.4,-,-,85.79,-
116,臺北市,2018/12/15,大同,2.1,0.6,-,-,21,9,36.92,15.15,21.77,2.078,0.159,1.918,-,-,-,-,-,-,-
117,臺北市,2018/12/15,萬華,1.4,0.34,-,26.7,16,7,20.04,3.49,16.54,-,-,-,3.22,2.84,19.82,-,-,78.75,-
118,臺北市,2018/12/15,陽明,1.3,0.16,413.43,40.3,5,2,1.19,0.27,0.76,-,-,-,4.58,-,13.09,0.8,4.42,99.5,30
119,臺北市,2018/12/15,士林,1.2,0.19,-,37.3,13,6,5.68,3.29,2.39,-,-,-,3.34,3.02,20.71,-,-,74.69,-
120,臺北市,2018/12/14,松山,2.1,0.37,425.65,27.8,16,11,21.81,4.04,17.76,1.856,0.081,1.776,2.16,1.58,16.89,-,-,89.9,-
121,臺北市,2018/12/14,古亭,2.1,0.33,-,30,19,12,18.88,3.35,15.54,1.978,0.082,1.895,3.04,2.72,17.43,-,-,89.82,-
122,臺北市,2018/12/14,中山,1.8,0.48,-,26,17,10,26.35,6.85,19.49,1.899,0.109,1.79,2.77,2.41,17.73,-,-,91.52,-
123,臺北市,2018/12/14,大同,2.3,0.83,-,-,22,10,55.82,27.92,27.9,2.148,0.23,1.918,-,-,-,-,-,-,-
124,臺北市,2018/12/14,萬華,2.6,0.37,-,25.1,15,7,23.84,5.04,18.79,-,-,-,2.97,2.66,18.25,-,-,84,-
125,臺北市,2018/12/14,陽明,1.6,0.19,414,42.2,5,1,1.06,0.09,1.07,-,-,-,3.51,-,11.8,1,4.59,99.5,18.89
126,臺北市,2018/12/14,士林,1.1,0.22,-,38.7,8,5,6.77,2.09,4.68,-,-,-,3.04,2.93,19.33,-,-,76.05,-
127,臺北市,2018/12/13,松山,2.6,0.46,431.7,20,24,16,26.18,5.7,20.51,1.938,0.118,1.82,1.56,1.21,16.22,-,-,88.64,-
128,臺北市,2018/12/13,古亭,2.6,0.48,-,24.8,24,16,20.89,4.41,16.48,2.025,0.099,1.925,2.68,2.45,16.99,-,-,86.76,-
129,臺北市,2018/12/13,中山,2.3,0.58,-,19.3,25,15,30.41,8.72,21.69,1.974,0.138,1.835,2.55,2.16,17.1,-,-,90.03,-
130,臺北市,2018/12/13,大同,2.8,1.04,-,-,30,14,67.6,39.28,28.32,2.27,0.289,1.981,-,-,-,-,-,-,-
131,臺北市,2018/12/13,萬華,1.7,0.48,-,19.6,21,13,26.89,5.96,20.93,-,-,-,2.93,2.55,17.56,-,-,81.96,-
132,臺北市,2018/12/13,陽明,0.5,0.23,418.61,37,5,2,1.33,0.46,0.92,-,-,-,2.48,-,11.06,0.83,4.28,99.5,57.84
133,臺北市,2018/12/13,士林,1.7,0.32,-,32.1,12,7,7.46,1.23,6.21,-,-,-,2.45,2.11,18.62,-,-,74.9,-
134,臺北市,2018/12/12,松山,2.2,0.47,432.78,21,27,14,21.23,4.2,17.05,1.914,0.101,1.814,1.66,1.39,15.19,-,-,83.95,-
135,臺北市,2018/12/12,古亭,1.5,0.48,-,23.1,30,19,20.48,4.05,16.42,2.047,0.103,1.943,2.83,2.41,15.78,-,-,83.92,-
136,臺北市,2018/12/12,中山,1.9,0.62,-,18.6,27,15,31,9.6,21.4,1.983,0.14,1.843,2.28,1.74,16.38,-,-,82.79,-
137,臺北市,2018/12/12,大同,2.2,0.87,-,-,29,12,49.97,28.06,21.91,2.203,0.229,1.974,-,-,-,-,-,-,-
138,臺北市,2018/12/12,萬華,1.2,0.48,-,19,25,13,25.08,6.1,18.98,-,-,-,2.7,2.27,16.7,-,-,75.33,-
139,臺北市,2018/12/12,陽明,0.7,0.34,423.89,33.7,8,2,2.21,0.48,1.67,-,-,-,2.22,-,9.47,0.88,4.88,99.5,83.29
140,臺北市,2018/12/12,士林,0.5,0.35,-,32.6,17,12,8.16,2.14,6.03,-,-,-,2.95,2.34,17.35,-,-,71.47,-
141,臺北市,2018/12/11,松山,2.6,0.38,434.99,14.5,14,7,28.95,10.28,18.67,1.994,0.149,1.845,1.47,1.12,19.42,-,-,88.53,-
142,臺北市,2018/12/11,古亭,2.5,0.57,-,13.3,22,10,33.28,14.53,18.74,2.185,0.192,1.993,1.82,1.48,20.03,-,-,86.63,-
143,臺北市,2018/12/11,中山,2.9,0.63,-,9.4,20,8,37.51,13.07,24.44,2.145,0.222,1.923,1.59,1.26,20.41,-,-,89.56,-
144,臺北市,2018/12/11,大同,2.9,1.62,-,-,24,9,86.16,58.91,27.25,2.622,0.506,2.116,-,-,-,-,-,-,-
145,臺北市,2018/12/11,萬華,2.7,0.59,-,8.4,-,6,37.35,13.52,23.82,-,-,-,1.6,1.22,20.87,-,-,82.73,-
146,臺北市,2018/12/11,陽明,1.4,0.19,418.08,28.6,5,1,3.03,0.26,2.8,-,-,-,3.41,-,14.51,0.82,4.41,99.5,30.45
147,臺北市,2018/12/11,士林,1.6,0.4,-,16.6,15,6,22.9,7.71,15.21,-,-,-,1.54,1.16,21.45,-,-,80.7,-
148,臺北市,2018/12/10,松山,3,0.41,428.67,16.9,9,5,27.15,8.3,18.84,1.915,0.116,1.799,1.14,0.76,20.15,-,-,92.44,-
149,臺北市,2018/12/10,古亭,2.2,0.38,-,18.7,14,6,22.6,5.55,17.05,2.019,0.102,1.917,1.92,1.8,20.69,-,-,90.95,-
150,臺北市,2018/12/10,中山,1.2,0.62,-,12.6,17,5,37.54,14.8,22.73,2.128,0.206,1.922,1.58,1.32,20.88,-,-,93.88,-
151,臺北市,2018/12/10,大同,3.5,1.49,-,-,22,7,80.8,53.62,27.18,2.598,0.459,2.14,-,-,-,-,-,-,-
152,臺北市,2018/12/10,萬華,3.4,0.54,-,12.3,12,6,35.69,13.46,22.23,-,-,-,1.57,1.29,21.32,-,-,87.11,-
153,臺北市,2018/12/10,陽明,1.3,0.13,411.6,34.1,5,2,1.51,0.29,1.11,-,-,-,2.23,-,15.86,0.56,5.29,99.5,6.96
154,臺北市,2018/12/10,士林,1.7,0.38,-,15.3,13,6,20.56,4.99,15.57,-,-,-,1.31,0.85,21.67,-,-,83.7,-
155,臺北市,2018/12/09,松山,1.7,0.25,422.45,27.3,6,3,14.29,2.72,11.57,1.836,0.057,1.778,1.77,1.35,17.29,-,-,90.9,-
156,臺北市,2018/12/09,古亭,2,0.26,-,28.5,10,5,11.71,1.77,9.94,1.947,0.058,1.889,2.78,2.54,17.68,-,-,91.85,-
157,臺北市,2018/12/09,中山,1.6,0.3,-,25.9,9,6,16.82,3.71,13.11,1.865,0.077,1.789,2.78,2.41,18.25,-,-,91.2,-
158,臺北市,2018/12/09,大同,2,0.77,-,-,12,5,48.02,25.42,22.59,2.13,0.203,1.927,-,-,-,-,-,-,-
159,臺北市,2018/12/09,萬華,1.7,0.29,-,24.3,7,5,17.65,4,13.65,-,-,-,2.79,2.45,18.66,-,-,84.34,-
160,臺北市,2018/12/09,陽明,1.6,0.17,413.36,35.5,5,1,1.28,0.25,1.03,-,-,-,2.27,-,12.43,1.21,5.24,99.5,8.02
161,臺北市,2018/12/09,士林,1.1,0.21,-,30.9,5,6,5.52,0.59,4.91,-,-,-,2.51,2.38,19.58,-,-,78.54,-
162,臺北市,2018/12/08,松山,1.4,0.25,421.51,27.7,6,2,14.35,3.21,11.13,1.826,0.053,1.773,2.23,1.65,17.18,-,-,88.5,-
163,臺北市,2018/12/08,古亭,1,0.25,-,28.2,9,5,11.95,2.07,9.86,1.949,0.058,1.891,3.3,2.9,17.71,-,-,88.87,-
164,臺北市,2018/12/08,中山,1.1,0.35,-,25.5,9,7,18.11,4.57,13.54,1.86,0.08,1.78,3.03,2.53,18.41,-,-,86.42,-
165,臺北市,2018/12/08,大同,2,0.62,-,-,11,5,40.01,19.42,20.59,2.081,0.17,1.91,-,-,-,-,-,-,-
166,臺北市,2018/12/08,萬華,1.6,0.28,-,25.2,6,3,15.23,2.93,12.29,-,-,-,3.21,2.8,18.67,-,-,80.47,-
167,臺北市,2018/12/08,陽明,0.5,0.15,411.85,34.6,5,1,1.01,0.2,0.86,-,-,-,2.67,-,12.12,1.5,5.16,99.5,8.33
168,臺北市,2018/12/08,士林,1.4,0.19,-,32.6,5,3,6.9,2.19,4.71,-,-,-,2.99,2.77,19.98,-,-,73.18,-
169,臺北市,2018/12/07,松山,2.1,0.35,425.64,26.4,10,4,20.08,3.98,16.09,1.855,0.077,1.778,2.12,1.61,18.21,-,-,85.51,-
170,臺北市,2018/12/07,古亭,1.7,0.32,-,27,13,9,18.04,3.61,14.43,1.986,0.083,1.904,2.95,2.66,18.81,-,-,85.53,-
171,臺北市,2018/12/07,中山,1.6,0.49,-,23.7,13,7,24.83,6.41,18.39,1.91,0.113,1.797,2.71,2.26,19.42,-,-,84.08,-
172,臺北市,2018/12/07,大同,2.4,0.94,-,-,18,7,65.69,37.94,27.75,2.199,0.266,1.933,-,-,-,-,-,-,-
173,臺北市,2018/12/07,萬華,1.5,0.36,-,25.3,9,4,20.28,4.61,15.67,-,-,-,2.99,2.63,19.62,-,-,78.48,-
174,臺北市,2018/12/07,陽明,1.5,0.2,415.01,37.1,5,1,1.75,0.29,1.41,-,-,-,2.21,-,12.71,1.38,5,99.5,11.78
175,臺北市,2018/12/07,士林,0.9,0.27,-,32.8,6,7,7.11,1.06,6.06,-,-,-,2.41,2.09,20.47,-,-,75.03,-
